"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"1" "15S_rRNA" 0.0561162551843521 0.0803661430420384 1.15340299341479 2.09390979952958
"2" "21S_rRNA" 0.00334242102461285 0.00617163938555385 1.39029039559347 3.57076114145019
"3" "HRA1" 0.0104247650819736 0.0174600136114367 -0.775809474775229 -2.98317298547278
"4" "ICR1" 0.0293322833035406 0.0447300226973806 0.394568043774303 2.44328798391387
"5" "LSR1" 0.00164805017851149 0.00325039019228887 0.793660656681141 3.93950596091402
"6" "NME1" 0.0024754035727105 0.00470348247826666 -1.71312563437217 -3.72678716735523
"7" "Q0045" 0.210058507518193 0.263762525179274 1.07069097328058 1.31756768869092
"8" "Q0050" 0.960026013341991 0.968762946056348 0.0455766882519323 0.0510807768509338
"9" "Q0055" 0.819484692255832 0.851639214731955 0.148210323446487 0.232803530799553
"10" "Q0065" 0.371371318594984 0.436958681575386 0.719251418055811 0.925390413986205
"11" "Q0070" 0.0709715452649116 0.0995915592284539 1.55575097548362 1.96377761381805
"12" "Q0085" 0.994808588336646 0.995569494400847 -0.00527277887375285 -0.00663079806294753
"13" "Q0105" 0.972991156548021 0.978403409322546 -0.0314197309205938 -0.0345044882624224
"14" "Q0110" 0.158548716534516 0.206742217175365 1.21812433133097 1.49454768895481
"15" "Q0115" 0.317703446711768 0.380871531681947 0.799006145590549 1.03846136861848
"16" "Q0120" 0.937926542801293 0.951009833075955 -0.0725184654323572 -0.0793730578965344
"17" "Q0130" 0.739119646027801 0.785719974701638 -0.311545142113059 -0.340116955731296
"18" "Q0160" 0.118877103265267 0.15910270244709 1.28381028188063 1.66786260596158
"19" "Q0250" 0.666287041818333 0.720912142103353 -0.359354705172879 -0.4410883101263
"20" "Q0255" 0.71790381640535 0.766905089308263 0.300999673814381 0.369102802932213
"21" "Q0275" 0.659053041321171 0.714656886511371 0.383838169168455 0.451364283716504
"22" "RDN37-1" 0.69768561123478 0.749344815087495 0.24783956970649 0.397036038138675
"23" "RDN37-2" 0.942675354784734 0.954493448537646 -0.062811565401142 -0.0732885798698146
"24" "RDN5-1" 0.562435091384969 0.624376441174354 0.360711647078324 0.594182692500747
"25" "RDN5-2" 0.67477656636388 0.728086474872588 -0.33095593916993 -0.429091412331935
"26" "RDN5-6" 0.0354092132639373 0.0530692034759858 -1.32794479554846 -2.34312381593888
"27" "RNA170" 0.76234185207869 0.804263892323624 -0.251422591475252 -0.308734565624991
"28" "RPM1" 0.407073013732374 0.472594792517691 0.702987762129993 0.856364765514942
"29" "RPR1" 0.0032133296281107 0.00595041128123634 -1.7575201378242 -3.59118687166215
"30" "RUF20" 0.315914529001479 0.380088269019836 -0.387562241494071 -1.04246002888789
"31" "RUF21" 0.415708537620278 0.481439385687096 0.762455899139314 0.840285974706255
"32" "RUF23" 0.748598125428612 0.793089706324531 -0.264403547121281 -0.327266448023626
"33" "RUF5-1" 1.28943121281039e-08 9.31066114150728e-08 1.31618949673021 12.3179210334871
"34" "RUF5-2" 3.25565340161096e-08 2.03813249314248e-07 1.29531525824374 11.4131578225844
"35" "SCR1" 5.51084733237606e-05 0.00014769341765016 -1.98517610486526 -5.83175174365478
"36" "SRG1" 0.680171806442505 0.733303223096056 0.0653933765368974 0.421501199146638
"37" "TLC1" 1.39604581695742e-10 2.37836763920194e-09 -1.54300690382294 -17.7004872988138
"38" "YAL001C" 0.0411434259886342 0.0605943928000102 0.15766364663818 2.26262132543947
"39" "YAL002W" 0.00328017739207538 0.00606526865431235 0.266538163993397 3.58050803611303
"40" "YAL003W" 1.17449088471421e-08 8.60416502553229e-08 -0.872369441926274 -12.4123960418977
"41" "YAL005C" 1.74086203801702e-12 9.90323430670203e-11 1.78074691869368 24.9075593071454
"42" "YAL007C" 1.08733323743656e-07 5.81154741773688e-07 -1.14536772051395 -10.3180679485995
"43" "YAL008W" 9.9517467672626e-10 1.11763584363031e-08 1.71126915421098 15.1493403312874
"44" "YAL009W" 0.0542263948139451 0.0779325735660872 0.226185120923013 2.11270046670568
"45" "YAL010C" 0.00151026899024323 0.00299580950096156 0.438208913419665 3.98540094297943
"46" "YAL011W" 0.0294377121446713 0.0448803339199347 0.214568029975878 2.44138698281089
"47" "YAL012W" 5.39428020594773e-11 1.12386564036019e-09 -1.43705572473229 -19.0725982086835
"48" "YAL013W" 0.0346988676148036 0.0521120275335274 0.174947298417024 2.35394613958608
"49" "YAL014C" 0.0384563537022584 0.0571127050897104 -0.232931985445996 -2.2989249152808
"50" "YAL015C" 0.00493889187521463 0.00882070178751136 0.282817766944215 3.36876655001727
"51" "YAL016C-A" 0.0053239824650355 0.00946710880300686 0.571335705154959 3.32999874083415
"52" "YAL016C-B" 0.594473505986702 0.655273070962933 0.303082466561142 0.54555121329517
"53" "YAL016W" 2.24352849274477e-07 1.08639255362963e-06 0.670986218792091 9.70183279867765
"54" "YAL017W" 6.41626235903561e-08 3.648626609939e-07 0.810998722999151 10.7860488465758
"55" "YAL018C" 0.00159445851205701 0.00315324896791928 1.90468605344753 3.95687337705493
"56" "YAL019W" 8.60320341740845e-07 3.52645092460439e-06 -0.844503938487364 -8.63319258668336
"57" "YAL019W-A" 0.0945356701073238 0.129275157575692 -0.963412252962837 -1.80127665517673
"58" "YAL020C" 0.0164334861328836 0.0264082206537275 -0.364646556577452 -2.74722811916691
"59" "YAL021C" 0.00890899614850208 0.0151422844384257 -0.247266970031014 -3.06433242000342
"60" "YAL022C" 0.000402618335046364 0.000897726362601675 -0.431327115243767 -4.69454245293269
