""	"probe.id"	"gene.id"	"p.value"	"q.value"	"log.fc"	"test.stat"
"1769384_at"	"1769384_at"	"YHR014W"	0.000231378342781403	0.000985002933352227	0.770815737226013	6.38688642818638
"1769385_at"	"1769385_at"	"YEL006W"	0.00359689002772321	0.0104818171261225	-0.307386069491723	-4.09874152480913
"1769387_at"	"1769387_at"	"YDL029W"	0.401229701356643	0.518707935221271	-0.0616259244843736	-0.887482159781319
"1769388_at"	"1769388_at"	"YLR401C"	3.12153661649732e-06	2.98444025766253e-05	-1.0797584044164	-11.6756406959373
"1769390_s_at"	"1769390_s_at"	"YDR447C"	0.00103277137180514	0.00355244745076694	-0.500902035424533	-5.06546990816652
"1769392_at"	"1769392_at"	"YOR192C-C"	0.000774521118885063	0.00277779260705026	0.759880163091587	5.30450927640447
"1769395_at"	"1769395_at"	"YER026C"	0.0108678878544669	0.0272145459380417	-0.358704156719914	-3.31886446333957
"1769397_s_at"	"1769397_s_at"	"YLR287C-A"	0.00504517213865332	0.0141404568174413	-0.3481237743159	-3.85355089716638
"1769403_at"	"1769403_at"	"YKL195W"	0.117748618961579	0.199280921172702	0.116912514114047	1.75703487268554
"1769406_at"	"1769406_at"	"YDR144C"	1.491386577836e-08	8.27303173735626e-07	-2.32410829723779	-23.5248285775424
"1769407_at"	"1769407_at"	"YDR439W"	0.247206363901351	0.35899948766963	-0.10185322515723	-1.25035104007698
"1769411_at"	"1769411_at"	"YBR149W"	6.45429442004173e-09	4.86431237394593e-07	2.04006815226733	26.2096951479874
"1769418_at"	"1769418_at"	"YER114C"	0.038732297311204	0.0802096920630733	0.221241280410074	2.47941606151796
"1769419_at"	"1769419_at"	"YMR247C"	0.000939022748324349	0.00328057563736844	-0.335854579445827	-5.14378918240664
"1769420_at"	"1769420_at"	"YMR076C"	0.000928497470993375	0.00325003855317604	0.362642156280417	5.15311356449358
"1769421_at"	"1769421_at"	"YGR056W"	0.987678204976667	0.991033644659353	0.00109285675503311	0.0159429726269905
"1769422_at"	"1769422_at"	"YAL013W"	0.0764831625693086	0.140448328105764	-0.164357540202847	-2.03929607164089
"1769426_at"	"1769426_at"	"YPR002W"	5.9964333314531e-09	4.68064453186568e-07	2.29197392188186	26.4594097093896
"1769428_at"	"1769428_at"	"YOR175C"	0.398884579883864	0.516632830551786	-0.100469910995756	-0.892124343598274
"1769431_at"	"1769431_at"	"YDL167C"	1.52851352932681e-06	1.76012601143133e-05	-1.00072215105666	-12.8438251930634
"1769434_at"	"1769434_at"	"YDR465C"	0.000429466382291596	0.00167974539215553	-0.505002374975993	-5.81607394208659
"1769435_at"	"1769435_at"	"YJL201W"	0.0640872552117569	0.121714550739326	-0.157601231672184	-2.15386796117193
"1769442_at"	"1769442_at"	"YDR495C"	0.295957436491963	0.411738234176091	0.110839454306791	1.11974458377481
"1769443_at"	"1769443_at"	"YDR501W"	0.000616016215266806	0.00227888463115628	-0.51894605506243	-5.49956690698749
"1769446_at"	"1769446_at"	"YHL010C"	0.000976469863599828	0.0033882250527739	0.896177996205813	5.11151968101609
"1769448_at"	"1769448_at"	"YHR152W"	0.825266871498096	0.8808005051012	0.02666245592569	0.22828544878803
"1769450_at"	"1769450_at"	"YER035W"	2.92258915366114e-08	1.29829488907353e-06	1.78909251904775	21.5642284922363
"1769451_at"	"1769451_at"	"YHR002W"	0.000715948687605614	0.00259671000934422	0.396580685870458	5.37100263230452
"1769452_at"	"1769452_at"	"YPL020C"	0.220491078411229	0.327336843482939	0.0947783457619336	1.33134809217318
"1769455_at"	"1769455_at"	"YLR286C"	0.000229303563600728	0.000978839587120606	-0.706389294382063	-6.39547724359132
"1769456_at"	"1769456_at"	"YKL061W"	3.15681074764622e-05	0.000180332607685718	0.58900593043663	8.50994187544044
"1769459_at"	"1769459_at"	"YHR131C"	0.00285038812609842	0.00851764873995173	0.317497184757741	4.27114296552636
"1769460_at"	"1769460_at"	"YJL185C"	1.19365413820224e-10	3.95280376432548e-08	2.87106646649821	43.7487406257083
"1769461_at"	"1769461_at"	"YMR317W"	0.451863083808911	0.567581583892388	0.11248352700738	0.791632562908724
"1769462_at"	"1769462_at"	"YIL125W"	7.19047840234969e-08	2.25429211149397e-06	1.57981292959917	19.186824165493
"1769463_at"	"1769463_at"	"YPL065W"	0.0918456891297612	0.163360952280278	-0.162815065837647	-1.92016191603386
"1769464_at"	"1769464_at"	"YGR130C"	7.45244730998799e-07	1.07158347636248e-05	1.55578893643709	14.1265422616456
"1769466_at"	"1769466_at"	"YDL049C"	1.08321587081074e-09	1.39263329837879e-07	2.25019991431805	32.973375247739
"1769467_at"	"1769467_at"	"YBR065C"	0.453111269022105	0.568561252482899	-0.0979215133341835	-0.789366014780464
"1769468_at"	"1769468_at"	"YJR082C"	0.168681207123602	0.264544809335064	0.105480142845084	1.51631196306905
"1769472_at"	"1769472_at"	"YMR182C"	0.000765490025834809	0.00275212628814598	-0.66447099116631	-5.31439438611724
"1769474_at"	"1769474_at"	"YPL264C"	0.000235782715867243	0.00100110822181892	-0.584832715916836	-6.36892890250498
"1769478_at"	"1769478_at"	"YPL199C"	4.42594552990156e-07	7.44897362495724e-06	-1.17337604862318	-15.1305439551895
"1769481_at"	"1769481_at"	"YGR080W"	0.0185015244268419	0.0429997147887128	0.204587779712744	2.96220590483852
"1769482_at"	"1769482_at"	"YLR125W"	4.81673939699056e-06	4.08041303335758e-05	0.875126551458023	11.0137980273024
"1769484_at"	"1769484_at"	"YNL292W"	8.67099389167883e-06	6.45921071903655e-05	-0.697295659438893	-10.1701423965151
"1769485_s_at"	"1769485_s_at"	"YAR033W"	1.58764808595255e-06	1.81104574982145e-05	-1.34260974960642	-12.7791337175242
"1769487_at"	"1769487_at"	"YKL063C"	5.87154458608019e-06	4.73536820934939e-05	-0.809260898135683	-10.7229665603804
"1769495_at"	"1769495_at"	"YIL010W"	0.00816096994313381	0.0212422259944537	-0.254839702253563	-3.51530440707361
"1769500_at"	"1769500_at"	"YGR113W"	0.0024324582351909	0.0074396595561618	-0.307643686478332	-4.39056733116682
"1769501_at"	"1769501_at"	"YLR266C"	0.0235413381260722	0.0526812467000452	-0.221660776028993	-2.80354825252429
"1769502_at"	"1769502_at"	"YPL050C"	5.95705305470886e-06	4.79371692060813e-05	-0.822431792199393	-10.7020014626062
"1769503_at"	"1769503_at"	"YDR447C"	4.72908802394017e-07	7.73644819245781e-06	-1.0316819390236	-14.999280130734
"1769504_at"	"1769504_at"	"YML019W"	1.01754092477242e-05	7.31558370125854e-05	-0.748385492575317	-9.95061010609034
