""	"gene.id"	"p.value"	"q.value"	"log.fc"	"test.stat"
"1"	"15S_rRNA"	0.0203286200536736	0.0316793312032236	1.13392544695245	5.38345167332661
"2"	"21S_rRNA"	0.000358458410610484	0.000715604187431731	1.41143220219276	12.7371766167551
"3"	"HRA1"	0.00409675533878244	0.00714502090810843	-0.692992833014638	8.240424346954
"4"	"ICR1"	0.00869064810776038	0.0143752768447455	0.465606044830488	6.88532055081213
"5"	"LSR1"	5.62188307896391e-05	0.000122390546098442	0.879019273285339	16.2259466845146
"6"	"NME1"	0.000175081231608907	0.00036200424057695	-1.49801769860017	14.0812412144829
"7"	"Q0045"	0.0798112068327978	0.111684473818217	2.7749327420144	3.06874208299289
"8"	"Q0050"	0.209982776093998	0.267183674984557	1.15070102653728	1.57154505496117
"9"	"Q0055"	0.856039007305817	0.888216841521754	0.117084598990893	0.0329127144908625
"10"	"Q0065"	0.457164060027843	0.522952838031501	1.03320585629489	0.552829011598964
"11"	"Q0070"	0.0324912448125847	0.0486179605589957	3.30156809461992	4.57238793527965
"12"	"Q0085"	0.851002266193689	0.883873274160569	0.235174032167703	0.0352837755943751
"13"	"Q0105"	0.692527914864552	0.745396120277048	-0.556139643530526	0.156362374385473
"14"	"Q0110"	0.0772629347180896	0.108606385673774	2.81025754460607	3.12155680335357
"15"	"Q0115"	0.210958827317806	0.267183674984557	1.97812141285014	1.56483402557169
"16"	"Q0120"	0.930661005419495	0.944961089159451	0.10107865071491	0.00757130012741758
"17"	"Q0130"	0.569968535221982	0.631026257813878	-0.712983259157877	0.322735154399831
"18"	"Q0160"	0.078214502791765	0.109684732532417	2.79702026980152	3.10161841886617
"19"	"Q0250"	0.699113870650485	0.751409468327268	-0.540856632447503	0.149395332993566
"20"	"Q0255"	0.893597069383107	0.91445897701378	0.198775099711844	0.0178901438643502
"21"	"Q0275"	0.826996095986845	0.864501383333688	0.280670707391925	0.0477666325753994
"22"	"RDN37-1"	0.705243854793593	0.757214065002411	0.282119814133992	0.143074111802695
"23"	"RDN37-2"	0.861993490738675	0.892906188146115	0.202522542166445	0.0302193355451355
"24"	"RDN5-1"	0.796944387848071	0.838335775092793	0.147393128965799	0.0662051597375379
"25"	"RDN5-2"	0.280492702349645	0.342347622905108	-1.76229522112565	1.16470110316323
"26"	"RDN5-6"	0.0445523111961974	0.0655263533825367	-0.994658883418118	4.03550607003091
"27"	"RNA170"	0.27814153863213	0.340445544852151	-1.78070433995017	1.176148220104
"28"	"RPM1"	0.208229706674604	0.265698993771262	2.00291558864596	1.58369189242679
"29"	"RPR1"	0.00107133839468145	0.00203268439037299	-1.70545135894687	10.7000292729212
"30"	"RUF20"	0.254264990884014	0.315695875946711	-0.401126207183653	1.29971662995797
"31"	"RUF21"	0.418253143383367	0.484886064861597	0.811955376291654	0.655218336261727
"32"	"RUF23"	0.278153689580365	0.340445544852151	-1.78060833503479	1.17608874755863
"33"	"RUF5-1"	2.13713990673947e-26	1.44433566837702e-25	1.36352053177343	113.019028269098
"34"	"RUF5-2"	8.48037412049326e-23	5.03892892790799e-22	1.33690216376587	96.6010395198272
"35"	"SCR1"	1.98921995339487e-06	5.00133625484598e-06	-1.70182431553208	22.6054261906432
"36"	"SRG1"	0.406793603099972	0.473446673453125	0.14494640301415	0.688152184926994
"37"	"TLC1"	2.83489142552472e-50	4.19589586103681e-49	-1.48126273894517	222.309949286837
"38"	"YAL001C"	0.00521036374963727	0.00891375513863155	0.22402176280693	7.80493856299759
"39"	"YAL002W"	0.000226161043305224	0.000461492684124385	0.33367480994115	13.6002032087883
"40"	"YAL003W"	9.86276447593338e-20	5.19921073340501e-19	-0.805569195186353	82.6363280850534
"41"	"YAL005C"	1.33106152030625e-75	3.55420590442591e-74	1.85198207389917	338.533739139749
"42"	"YAL007C"	3.72344050626221e-18	1.81917459237994e-17	-1.06880132498774	75.4628661078914
"43"	"YAL008W"	1.20456106054874e-47	1.63830321374426e-46	1.77412866006759	210.26143245425
"44"	"YAL009W"	0.024633312236699	0.0377756982307747	0.289982408125832	5.04948124858407
"45"	"YAL010C"	7.12834550469166e-05	0.000153501106950931	0.511566036020768	15.7764725151508
"46"	"YAL011W"	0.00608328600154357	0.0102807690576332	0.283584799552027	7.52546471422659
"47"	"YAL012W"	2.58163707475796e-51	3.95528565411395e-50	-1.36507288276575	227.081229043363
"48"	"YAL013W"	0.0071626384364291	0.0119657764686208	0.240788504110375	7.23172416856191
"49"	"YAL014C"	0.16133920987418	0.211307529729107	-0.170018201196406	1.96162897273941
"50"	"YAL015C"	0.000670576437921346	0.00130291388680768	0.347553658102269	11.5690784641429
"51"	"YAL016C-A"	0.000728696193675151	0.0014116465795152	0.640846302654013	11.4145888995576
"52"	"YAL016C-B"	0.721828194556629	0.772362185537146	0.279721767483214	0.126747761515183
"53"	"YAL016W"	1.32403526604839e-19	6.94057588981456e-19	0.740127482557734	82.0542296326863
"54"	"YAL017W"	1.86497685146105e-26	1.26694481435703e-25	0.881803496057215	113.289121360014
"55"	"YAL018C"	1.79066068620564e-05	4.11035165233589e-05	1.94705468994756	18.3999139426088
"56"	"YAL019W"	3.01949005804646e-15	1.30644867458598e-14	-0.783454358339753	62.2536485629103
"57"	"YAL019W-A"	0.153272558768468	0.201792932071507	-0.832603571976874	2.0393755155567
"58"	"YAL020C"	0.0646812088639207	0.0923492947157943	-0.288014961563757	3.41309037032874
"59"	"YAL021C"	0.0478711821981551	0.069889148391058	-0.17676770948152	3.91450250121172
